WKT,name,description
"POINT (-91.6432837 44.0473997)",Winona State University,
"POINT (-111.9283778 33.418144)",Arizona State University,
"POINT (-82.39579330000001 40.376152)",Kenyon College,
"POINT (-72.7228293 41.6972996)",ARRL Teachers Institute on Wireless Technology,
"POINT (-89.4057752 43.0744328)",University of Wisconsin–Madison,
"POINT (-122.7212677 38.4552325)",Santa Rosa Junior College,
"POINT (-74.52579580000001 40.4958955)",Franklin Township,
"POINT (-93.73215560000001 32.4847432)",Centenary College of Louisiana,
"POINT (-73.5783235 45.50601839999999)",McGill University,
"POINT (-117.8411678 33.6429785)",University of California-Irvine,
"POINT (-93.0899578 44.9537029)",Saint Paul,
